                a        b        c        d        e        g        h        i        k        l        m        n        o        p        q        r        s        t        u        v        x        y        à        á        â        ã        è        é        ê        ì        í        ò        ó        ô        õ        ù        ú        ý        ă        đ        ĩ        ũ        ơ        ư        ạ        ả        ấ        ầ        ẩ        ẫ        ậ        ắ        ằ        ẳ        ẵ        ặ        ẹ        ẻ        ẽ        ế        ề        ể        ễ        ệ        ỉ        ị        ọ        ỏ        ố        ồ        ổ        ỗ        ộ        ớ        ờ        ở        ỡ        ợ        ụ        ủ        ứ        ừ        ử        ữ        ự        ỳ        ỵ        ỷ        ỹ
            0   ---------->     ọ - ẳ  -------->  0
            0   ---------->     ọ - ẵ  -------->  0
            0   ---------->     ọ - ặ  -------->  0
            0   ---------->     ọ - ẹ  -------->  0
            0   ---------->     ọ - ẻ  -------->  0
            0   ---------->     ọ - ẽ  -------->  0
            0   ---------->     ọ - ế  -------->  0
            0   ---------->     ọ - ề  -------->  0
            0   ---------->     ọ - ể  -------->  0
            0   ---------->     ọ - ễ  -------->  0
            0   ---------->     ọ - ệ  -------->  0
            0   ---------->     ọ - ỉ  -------->  0
            0   ---------->     ọ - ị  -------->  0
            0   ---------->     ọ - ọ  -------->  0
            0   ---------->     ọ - ỏ  -------->  0
            0   ---------->     ọ - ố  -------->  0
            0   ---------->     ọ - ồ  -------->  0
            0   ---------->     ọ - ổ  -------->  0
            0   ---------->     ọ - ỗ  -------->  0
            0   ---------->     ọ - ộ  -------->  0
            0   ---------->     ọ - ớ  -------->  0
            0   ---------->     ọ - ờ  -------->  0
            0   ---------->     ọ - ỡ  -------->  0
            0   ---------->     ọ - ợ  -------->  0
            0   ---------->     ọ - ụ  -------->  0
            0   ---------->     ọ - ủ  -------->  0
            0   ---------->     ọ - ứ  -------->  0
            0   ---------->     ọ - ừ  -------->  0
            0   ---------->     ọ - ử  -------->  0
            0   ---------->     ọ - ữ  -------->  0
            0   ---------->     ọ - ự  -------->  0
            0   ---------->     ọ - ỳ  -------->  0
            0   ---------->     ọ - ỵ  -------->  0
            0   ---------->     ọ - ỷ  -------->  0
            0   ---------->     ọ - ỹ  -------->  0
            0   ---------->     ỏ - b  -------->  0
            0   ---------->     ỏ - c  -------->  0
            0   ---------->     ỏ - d  -------->  0
            0   ---------->     ỏ - e  -------->  0
            0   ---------->     ỏ - g  -------->  0
            0   ---------->     ỏ - h  -------->  0
            0   ---------->     ỏ - k  -------->  0
            0   ---------->     ỏ - l  -------->  0
            0   ---------->     ỏ - o  -------->  0
            0   ---------->     ỏ - p  -------->  0
            0   ---------->     ỏ - q  -------->  0
            0   ---------->     ỏ - r  -------->  0
            0   ---------->     ỏ - s  -------->  0
            0   ---------->     ỏ - t  -------->  0
            0   ---------->     ỏ - u  -------->  0
            0   ---------->     ỏ - v  -------->  0
            0   ---------->     ỏ - x  -------->  0
            0   ---------->     ỏ - y  -------->  0
            0   ---------->     ỏ - à  -------->  0
            0   ---------->     ỏ - á  -------->  0
            0   ---------->     ỏ - â  -------->  0
            0   ---------->     ỏ - ã  -------->  0
            0   ---------->     ỏ - è  -------->  0
            0   ---------->     ỏ - é  -------->  0
            0   ---------->     ỏ - ê  -------->  0
            0   ---------->     ỏ - ì  -------->  0
            0   ---------->     ỏ - í  -------->  0
            0   ---------->     ỏ - ò  -------->  0
            0   ---------->     ỏ - ó  -------->  0
            0   ---------->     ỏ - ô  -------->  0
            0   ---------->     ỏ - õ  -------->  0
            0   ---------->     ỏ - ù  -------->  0
            0   ---------->     ỏ - ú  -------->  0
            0   ---------->     ỏ - ý  -------->  0
            0   ---------->     ỏ - ă  -------->  0
            0   ---------->     ỏ - đ  -------->  0
            0   ---------->     ỏ - ĩ  -------->  0
            0   ---------->     ỏ - ũ  -------->  0
            0   ---------->     ỏ - ơ  -------->  0
            0   ---------->     ỏ - ư  -------->  0
            0   ---------->     ỏ - ạ  -------->  0
            0   ---------->     ỏ - ả  -------->  0
            0   ---------->     ỏ - ấ  -------->  0
            0   ---------->     ỏ - ầ  -------->  0
            0   ---------->     ỏ - ẩ  -------->  0
            0   ---------->     ỏ - ẫ  -------->  0
            0   ---------->     ỏ - ậ  -------->  0
            0   ---------->     ỏ - ắ  -------->  0
            0   ---------->     ỏ - ằ  -------->  0
            0   ---------->     ỏ - ẳ  -------->  0
            0   ---------->     ỏ - ẵ  -------->  0
            0   ---------->     ỏ - ặ  -------->  0
            0   ---------->     ỏ - ẹ  -------->  0
            0   ---------->     ỏ - ẻ  -------->  0
            0   ---------->     ỏ - ẽ  -------->  0
            0   ---------->     ỏ - ế  -------->  0
            0   ---------->     ỏ - ề  -------->  0
            0   ---------->     ỏ - ể  -------->  0
            0   ---------->     ỏ - ễ  -------->  0
            0   ---------->     ỏ - ệ  -------->  0
            0   ---------->     ỏ - ỉ  -------->  0
            0   ---------->     ỏ - ị  -------->  0
            0   ---------->     ỏ - ọ  -------->  0
            0   ---------->     ỏ - ỏ  -------->  0
            0   ---------->     ỏ - ố  -------->  0
            0   ---------->     ỏ - ồ  -------->  0
            0   ---------->     ỏ - ổ  -------->  0
            0   ---------->     ỏ - ỗ  -------->  0
            0   ---------->     ỏ - ộ  -------->  0
            0   ---------->     ỏ - ớ  -------->  0
            0   ---------->     ỏ - ờ  -------->  0
            0   ---------->     ỏ - ở  -------->  0
            0   ---------->     ỏ - ỡ  -------->  0
            0   ---------->     ỏ - ợ  -------->  0
            0   ---------->     ỏ - ụ  -------->  0
            0   ---------->     ỏ - ủ  -------->  0
            0   ---------->     ỏ - ứ  -------->  0
            0   ---------->     ỏ - ừ  -------->  0
            0   ---------->     ỏ - ử  -------->  0
            0   ---------->     ỏ - ữ  -------->  0
            0   ---------->     ỏ - ự  -------->  0
            0   ---------->     ỏ - ỳ  -------->  0
            0   ---------->     ỏ - ỵ  -------->  0
            0   ---------->     ỏ - ỷ  -------->  0
            0   ---------->     ỏ - ỹ  -------->  0
            0   ---------->     ố - a  -------->  0
            0   ---------->     ố - b  -------->  0
            0   ---------->     ố - e  -------->  0
            0   ---------->     ố - g  -------->  0
            0   ---------->     ố - k  -------->  0
            0   ---------->     ố - l  -------->  0
            0   ---------->     ố - o  -------->  0
            0   ---------->     ố - r  -------->  0
            0   ---------->     ố - s  -------->  0
            0   ---------->     ố - u  -------->  0
            0   ---------->     ố - v  -------->  0
            0   ---------->     ố - x  -------->  0
            0   ---------->     ố - y  -------->  0
            0   ---------->     ố - à  -------->  0
            0   ---------->     ố - á  -------->  0
            0   ---------->     ố - â  -------->  0
            0   ---------->     ố - ã  -------->  0
            0   ---------->     ố - è  -------->  0
            0   ---------->     ố - é  -------->  0
            0   ---------->     ố - ê  -------->  0
            0   ---------->     ố - ì  -------->  0
            0   ---------->     ố - í  -------->  0
            0   ---------->     ố - ò  -------->  0
            0   ---------->     ố - ó  -------->  0
            0   ---------->     ố - ô  -------->  0
            0   ---------->     ố - õ  -------->  0
            0   ---------->     ố - ù  -------->  0
            0   ---------->     ố - ú  -------->  0
            0   ---------->     ố - ý  -------->  0
            0   ---------->     ố - ă  -------->  0
            0   ---------->     ố - đ  -------->  0
            0   ---------->     ố - ĩ  -------->  0
            0   ---------->     ố - ũ  -------->  0
            0   ---------->     ố - ơ  -------->  0
            0   ---------->     ố - ư  -------->  0
            0   ---------->     ố - ạ  -------->  0
            0   ---------->     ố - ả  -------->  0
            0   ---------->     ố - ấ  -------->  0
            0   ---------->     ố - ầ  -------->  0
            0   ---------->     ố - ẩ  -------->  0
            0   ---------->     ố - ẫ  -------->  0
            0   ---------->     ố - ậ  -------->  0
            0   ---------->     ố - ắ  -------->  0
            0   ---------->     ố - ằ  -------->  0
            0   ---------->     ố - ẳ  -------->  0
            0   ---------->     ố - ẵ  -------->  0
            0   ---------->     ố - ặ  -------->  0
            0   ---------->     ố - ẹ  -------->  0
            0   ---------->     ố - ẻ  -------->  0
            0   ---------->     ố - ẽ  -------->  0
            0   ---------->     ố - ế  -------->  0
            0   ---------->     ố - ề  -------->  0
            0   ---------->     ố - ể  -------->  0
            0   ---------->     ố - ễ  -------->  0
            0   ---------->     ố - ệ  -------->  0
            0   ---------->     ố - ỉ  -------->  0
            0   ---------->     ố - ị  -------->  0
            0   ---------->     ố - ọ  -------->  0
            0   ---------->     ố - ỏ  -------->  0
            0   ---------->     ố - ố  -------->  0
            0   ---------->     ố - ồ  -------->  0
            0   ---------->     ố - ổ  -------->  0
            0   ---------->     ố - ỗ  -------->  0
            0   ---------->     ố - ộ  -------->  0
            0   ---------->     ố - ớ  -------->  0
            0   ---------->     ố - ờ  -------->  0
            0   ---------->     ố - ở  -------->  0
            0   ---------->     ố - ỡ  -------->  0
            0   ---------->     ố - ợ  -------->  0
            0   ---------->     ố - ụ  -------->  0
            0   ---------->     ố - ủ  -------->  0
            0   ---------->     ố - ứ  -------->  0
            0   ---------->     ố - ừ  -------->  0
            0   ---------->     ố - ử  -------->  0
            0   ---------->     ố - ữ  -------->  0
            0   ---------->     ố - ự  -------->  0
            0   ---------->     ố - ỳ  -------->  0
            0   ---------->     ố - ỵ  -------->  0
            0   ---------->     ố - ỷ  -------->  0
            0   ---------->     ố - ỹ  -------->  0
            0   ---------->     ồ - a  -------->  0
            0   ---------->     ồ - b  -------->  0
            0   ---------->     ồ - c  -------->  0
            0   ---------->     ồ - d  -------->  0
            0   ---------->     ồ - e  -------->  0
            0   ---------->     ồ - g  -------->  0
            0   ---------->     ồ - h  -------->  0
            0   ---------->     ồ - k  -------->  0
            0   ---------->     ồ - l  -------->  0
            0   ---------->     ồ - o  -------->  0
            0   ---------->     ồ - p  -------->  0
            0   ---------->     ồ - q  -------->  0
            0   ---------->     ồ - r  -------->  0
            0   ---------->     ồ - s  -------->  0
            0   ---------->     ồ - t  -------->  0
            0   ---------->     ồ - u  -------->  0
            0   ---------->     ồ - v  -------->  0
            0   ---------->     ồ - x  -------->  0
            0   ---------->     ồ - y  -------->  0
            0   ---------->     ồ - à  -------->  0
            0   ---------->     ồ - á  -------->  0
            0   ---------->     ồ - â  -------->  0
            0   ---------->     ồ - ã  -------->  0
            0   ---------->     ồ - è  -------->  0
            0   ---------->     ồ - é  -------->  0
            0   ---------->     ồ - ê  -------->  0
            0   ---------->     ồ - ì  -------->  0
            0   ---------->     ồ - í  -------->  0
            0   ---------->     ồ - ò  -------->  0
            0   ---------->     ồ - ó  -------->  0
            0   ---------->     ồ - ô  -------->  0
            0   ---------->     ồ - õ  -------->  0
            0   ---------->     ồ - ù  -------->  0
            0   ---------->     ồ - ú  -------->  0
            0   ---------->     ồ - ý  -------->  0
            0   ---------->     ồ - ă  -------->  0
            0   ---------->     ồ - đ  -------->  0
            0   ---------->     ồ - ĩ  -------->  0
            0   ---------->     ồ - ũ  -------->  0
            0   ---------->     ồ - ơ  -------->  0
            0   ---------->     ồ - ư  -------->  0
            0   ---------->     ồ - ạ  -------->  0
            0   ---------->     ồ - ả  -------->  0
            0   ---------->     ồ - ấ  -------->  0
            0   ---------->     ồ - ầ  -------->  0
            0   ---------->     ồ - ẩ  -------->  0
            0   ---------->     ồ - ẫ  -------->  0
            0   ---------->     ồ - ậ  -------->  0
            0   ---------->     ồ - ắ  -------->  0
            0   ---------->     ồ - ằ  -------->  0
            0   ---------->     ồ - ẳ  -------->  0
            0   ---------->     ồ - ẵ  -------->  0
            0   ---------->     ồ - ặ  -------->  0
            0   ---------->     ồ - ẹ  -------->  0
            0   ---------->     ồ - ẻ  -------->  0
            0   ---------->     ồ - ẽ  -------->  0
            0   ---------->     ồ - ế  -------->  0
            0   ---------->     ồ - ề  -------->  0
            0   ---------->     ồ - ể  -------->  0
            0   ---------->     ồ - ễ  -------->  0
            0   ---------->     ồ - ệ  -------->  0
            0   ---------->     ồ - ỉ  -------->  0
            0   ---------->     ồ - ị  -------->  0
            0   ---------->     ồ - ọ  -------->  0
            0   ---------->     ồ - ỏ  -------->  0
            0   ---------->     ồ - ố  -------->  0
            0   ---------->     ồ - ồ  -------->  0
            0   ---------->     ồ - ổ  -------->  0
            0   ---------->     ồ - ỗ  -------->  0
            0   ---------->     ồ - ộ  -------->  0
            0   ---------->     ồ - ớ  -------->  0
            0   ---------->     ồ - ờ  -------->  0
            0   ---------->     ồ - ở  -------->  0
            0   ---------->     ồ - ỡ  -------->  0
            0   ---------->     ồ - ợ  -------->  0
            0   ---------->     ồ - ụ  -------->  0
            0   ---------->     ồ - ủ  -------->  0
            0   ---------->     ồ - ứ  -------->  0
            0   ---------->     ồ - ừ  -------->  0
            0   ---------->     ồ - ử  -------->  0
            0   ---------->     ồ - ữ  -------->  0
            0   ---------->     ồ - ự  -------->  0
            0   ---------->     ồ - ỳ  -------->  0
            0   ---------->     ồ - ỵ  -------->  0
            0   ---------->     ồ - ỷ  -------->  0
            0   ---------->     ồ - ỹ  -------->  0
            0   ---------->     ổ - a  -------->  0
            0   ---------->     ổ - b  -------->  0
            0   ---------->     ổ - c  -------->  0
            0   ---------->     ổ - d  -------->  0
            0   ---------->     ổ - e  -------->  0
            0   ---------->     ổ - g  -------->  0
            0   ---------->     ổ - h  -------->  0
            0   ---------->     ổ - k  -------->  0
            0   ---------->     ổ - l  -------->  0
            0   ---------->     ổ - o  -------->  0
            0   ---------->     ổ - p  -------->  0
            0   ---------->     ổ - q  -------->  0
            0   ---------->     ổ - r  -------->  0
            0   ---------->     ổ - s  -------->  0
            0   ---------->     ổ - t  -------->  0
            0   ---------->     ổ - u  -------->  0
            0   ---------->     ổ - v  -------->  0
            0   ---------->     ổ - x  -------->  0
            0   ---------->     ổ - y  -------->  0
            0   ---------->     ổ - à  -------->  0
            0   ---------->     ổ - á  -------->  0
            0   ---------->     ổ - â  -------->  0
            0   ---------->     ổ - ã  -------->  0
            0   ---------->     ổ - è  -------->  0
            0   ---------->     ổ - é  -------->  0
            0   ---------->     ổ - ê  -------->  0
            0   ---------->     ổ - ì  -------->  0
            0   ---------->     ổ - í  -------->  0
            0   ---------->     ổ - ò  -------->  0
            0   ---------->     ổ - ó  -------->  0
            0   ---------->     ổ - ô  -------->  0
            0   ---------->     ổ - õ  -------->  0
            0   ---------->     ổ - ù  -------->  0
            0   ---------->     ổ - ú  -------->  0
            0   ---------->     ổ - ý  -------->  0
            0   ---------->     ổ - ă  -------->  0
            0   ---------->     ổ - đ  -------->  0
            0   ---------->     ổ - ĩ  -------->  0
            0   ---------->     ổ - ũ  -------->  0
            0   ---------->     ổ - ơ  -------->  0
            0   ---------->     ổ - ư  -------->  0
            0   ---------->     ổ - ạ  -------->  0
            0   ---------->     ổ - ả  -------->  0
            0   ---------->     ổ - ấ  -------->  0
            0   ---------->     ổ - ầ  -------->  0
            0   ---------->     ổ - ẩ  -------->  0
            0   ---------->     ổ - ẫ  -------->  0
            0   ---------->     ổ - ậ  -------->  0
            0   ---------->     ổ - ắ  -------->  0
            0   ---------->     ổ - ằ  -------->  0
            0   ---------->     ổ - ẳ  -------->  0
            0   ---------->     ổ - ẵ  -------->  0
            0   ---------->     ổ - ặ  -------->  0
            0   ---------->     ổ - ẹ  -------->  0
            0   ---------->     ổ - ẻ  -------->  0
            0   ---------->     ổ - ẽ  -------->  0
            0   ---------->     ổ - ế  -------->  0
            0   ---------->     ổ - ề  -------->  0
            0   ---------->     ổ - ể  -------->  0
            0   ---------->     ổ - ễ  -------->  0
            0   ---------->     ổ - ệ  -------->  0
            0   ---------->     ổ - ỉ  -------->  0
            0   ---------->     ổ - ị  -------->  0
            0   ---------->     ổ - ọ  -------->  0
            0   ---------->     ổ - ỏ  -------->  0
            0   ---------->     ổ - ố  -------->  0
            0   ---------->     ổ - ồ  -------->  0
            0   ---------->     ổ - ổ  -------->  0
            0   ---------->     ổ - ỗ  -------->  0
            0   ---------->     ổ - ộ  -------->  0
            0   ---------->     ổ - ớ  -------->  0
            0   ---------->     ổ - ờ  -------->  0
            0   ---------->     ổ - ở  -------->  0
            0   ---------->     ổ - ỡ  -------->  0
            0   ---------->     ổ - ợ  -------->  0
            0   ---------->     ổ - ụ  -------->  0
            0   ---------->     ổ - ủ  -------->  0
            0   ---------->     ổ - ứ  -------->  0
            0   ---------->     ổ - ừ  -------->  0
            0   ---------->     ổ - ử  -------->  0
            0   ---------->     ổ - ữ  -------->  0
            0   ---------->     ổ - ự  -------->  0
            0   ---------->     ổ - ỳ  -------->  0
            0   ---------->     ổ - ỵ  -------->  0
            0   ---------->     ổ - ỷ  -------->  0
            0   ---------->     ổ - ỹ  -------->  0
            0   ---------->     ỗ - a  -------->  0
            0   ---------->     ỗ - b  -------->  0
            0   ---------->     ỗ - c  -------->  0
            0   ---------->     ỗ - d  -------->  0
            0   ---------->     ỗ - e  -------->  0
            0   ---------->     ỗ - g  -------->  0
            0   ---------->     ỗ - h  -------->  0
            0   ---------->     ỗ - k  -------->  0
            0   ---------->     ỗ - l  -------->  0
            0   ---------->     ỗ - m  -------->  0
            0   ---------->     ỗ - o  -------->  0
            0   ---------->     ỗ - p  -------->  0
            0   ---------->     ỗ - q  -------->  0
            0   ---------->     ỗ - r  -------->  0
            0   ---------->     ỗ - s  -------->  0
            0   ---------->     ỗ - t  -------->  0
            0   ---------->     ỗ - u  -------->  0
            0   ---------->     ỗ - x  -------->  0
            0   ---------->     ỗ - y  -------->  0
            0   ---------->     ỗ - à  -------->  0
            0   ---------->     ỗ - á  -------->  0
            0   ---------->     ỗ - â  -------->  0
            0   ---------->     ỗ - ã  -------->  0
            0   ---------->     ỗ - è  -------->  0
            0   ---------->     ỗ - é  -------->  0
            0   ---------->     ỗ - ê  -------->  0
            0   ---------->     ỗ - ì  -------->  0
            0   ---------->     ỗ - í  -------->  0
            0   ---------->     ỗ - ò  -------->  0
            0   ---------->     ỗ - ó  -------->  0
            0   ---------->     ỗ - ô  -------->  0
            0   ---------->     ỗ - õ  -------->  0
            0   ---------->     ỗ - ù  -------->  0
            0   ---------->     ỗ - ú  -------->  0
            0   ---------->     ỗ - ý  -------->  0
            0   ---------->     ỗ - ă  -------->  0
            0   ---------->     ỗ - đ  -------->  0
            0   ---------->     ỗ - ĩ  -------->  0
            0   ---------->     ỗ - ũ  -------->  0
            0   ---------->     ỗ - ơ  -------->  0
            0   ---------->     ỗ - ư  -------->  0
            0   ---------->     ỗ - ạ  -------->  0
            0   ---------->     ỗ - ả  -------->  0
            0   ---------->     ỗ - ấ  -------->  0
            0   ---------->     ỗ - ầ  -------->  0
            0   ---------->     ỗ - ẩ  -------->  0
            0   ---------->     ỗ - ẫ  -------->  0
            0   ---------->     ỗ - ậ  -------->  0
            0   ---------->     ỗ - ắ  -------->  0
            0   ---------->     ỗ - ằ  -------->  0
            0   ---------->     ỗ - ẳ  -------->  0
            0   ---------->     ỗ - ẵ  -------->  0
            0   ---------->     ỗ - ặ  -------->  0
            0   ---------->     ỗ - ẹ  -------->  0
            0   ---------->     ỗ - ẻ  -------->  0
            0   ---------->     ỗ - ẽ  -------->  0
            0   ---------->     ỗ - ế  -------->  0
            0   ---------->     ỗ - ề  -------->  0
            0   ---------->     ỗ - ể  -------->  0
            0   ---------->     ỗ - ễ  -------->  0
            0   ---------->     ỗ - ệ  -------->  0
            0   ---------->     ỗ - ỉ  -------->  0
            0   ---------->     ỗ - ị  -------->  0
            0   ---------->     ỗ - ọ  -------->  0
            0   ---------->     ỗ - ỏ  -------->  0
            0   ---------->     ỗ - ố  -------->  0
            0   ---------->     ỗ - ồ  -------->  0
            0   ---------->     ỗ - ổ  -------->  0
            0   ---------->     ỗ - ỗ  -------->  0
            0   ---------->     ỗ - ộ  -------->  0
            0   ---------->     ỗ - ớ  -------->  0
            0   ---------->     ỗ - ờ  -------->  0
            0   ---------->     ỗ - ở  -------->  0
            0   ---------->     ỗ - ỡ  -------->  0
            0   ---------->     ỗ - ợ  -------->  0
            0   ---------->     ỗ - ụ  -------->  0
            0   ---------->     ỗ - ủ  -------->  0
            0   ---------->     ỗ - ứ  -------->  0
            0   ---------->     ỗ - ừ  -------->  0
            0   ---------->     ỗ - ử  -------->  0
            0   ---------->     ỗ - ữ  -------->  0
            0   ---------->     ỗ - ự  -------->  0
            0   ---------->     ỗ - ỳ  -------->  0
            0   ---------->     ỗ - ỵ  -------->  0
            0   ---------->     ỗ - ỷ  -------->  0
            0   ---------->     ỗ - ỹ  -------->  0
            0   ---------->     ộ - a  -------->  0
            0   ---------->     ộ - b  -------->  0
            0   ---------->     ộ - d  -------->  0
            0   ---------->     ộ - e  -------->  0
            0   ---------->     ộ - g  -------->  0
            0   ---------->     ộ - k  -------->  0
            0   ---------->     ộ - l  -------->  0
            0   ---------->     ộ - o  -------->  0
            0   ---------->     ộ - r  -------->  0
            0   ---------->     ộ - s  -------->  0
            0   ---------->     ộ - u  -------->  0
            0   ---------->     ộ - v  -------->  0
            0   ---------->     ộ - x  -------->  0
            0   ---------->     ộ - y  -------->  0
            0   ---------->     ộ - à  -------->  0
            0   ---------->     ộ - á  -------->  0
            0   ---------->     ộ - â  -------->  0
            0   ---------->     ộ - ã  -------->  0
            0   ---------->     ộ - è  -------->  0
            0   ---------->     ộ - é  -------->  0
            0   ---------->     ộ - ê  -------->  0
            0   ---------->     ộ - ì  -------->  0
            0   ---------->     ộ - í  -------->  0
            0   ---------->     ộ - ò  -------->  0
            0   ---------->     ộ - ó  -------->  0
            0   ---------->     ộ - ô  -------->  0
            0   ---------->     ộ - õ  -------->  0
            0   ---------->     ộ - ù  -------->  0
            0   ---------->     ộ - ú  -------->  0
            0   ---------->     ộ - ý  -------->  0
            0   ---------->     ộ - ă  -------->  0
            0   ---------->     ộ - đ  -------->  0
            0   ---------->     ộ - ĩ  -------->  0
            0   ---------->     ộ - ũ  -------->  0
            0   ---------->     ộ - ơ  -------->  0
            0   ---------->     ộ - ư  -------->  0
            0   ---------->     ộ - ạ  -------->  0
            0   ---------->     ộ - ả  -------->  0
            0   ---------->     ộ - ấ  -------->  0
            0   ---------->     ộ - ầ  -------->  0
            0   ---------->     ộ - ẩ  -------->  0
            0   ---------->     ộ - ẫ  -------->  0
            0   ---------->     ộ - ậ  -------->  0
            0   ---------->     ộ - ắ  -------->  0
            0   ---------->     ộ - ằ  -------->  0
            0   ---------->     ộ - ẳ  -------->  0
            0   ---------->     ộ - ẵ  -------->  0
            0   ---------->     ộ - ặ  -------->  0
            0   ---------->     ộ - ẹ  -------->  0
            0   ---------->     ộ - ẻ  -------->  0
            0   ---------->     ộ - ẽ  -------->  0
            0   ---------->     ộ - ế  -------->  0
            0   ---------->     ộ - ề  -------->  0
            0   ---------->     ộ - ể  -------->  0
            0   ---------->     ộ - ễ  -------->  0
            0   ---------->     ộ - ệ  -------->  0
            0   ---------->     ộ - ỉ  -------->  0
            0   ---------->     ộ - ị  -------->  0
            0   ---------->     ộ - ọ  -------->  0
            0   ---------->     ộ - ỏ  -------->  0
            0   ---------->     ộ - ố  -------->  0
            0   ---------->     ộ - ồ  -------->  0
            0   ---------->     ộ - ổ  -------->  0
            0   ---------->     ộ - ỗ  -------->  0
            0   ---------->     ộ - ộ  -------->  0
            0   ---------->     ộ - ớ  -------->  0
            0   ---------->     ộ - ờ  -------->  0
            0   ---------->     ộ - ở  -------->  0
            0   ---------->     ộ - ỡ  -------->  0
            0   ---------->     ộ - ợ  -------->  0
            0   ---------->     ộ - ụ  -------->  0
            0   ---------->     ộ - ủ  -------->  0
            0   ---------->     ộ - ứ  -------->  0
            0   ---------->     ộ - ừ  -------->  0
            0   ---------->     ộ - ử  -------->  0
            0   ---------->     ộ - ữ  -------->  0
            0   ---------->     ộ - ự  -------->  0
            0   ---------->     ộ - ỳ  -------->  0
            0   ---------->     ộ - ỵ  -------->  0
            0   ---------->     ộ - ỷ  -------->  0
            0   ---------->     ộ - ỹ  -------->  0
            0   ---------->     ớ - a  -------->  0
            0   ---------->     ớ - b  -------->  0
            0   ---------->     ớ - d  -------->  0
            0   ---------->     ớ - e  -------->  0
            0   ---------->     ớ - g  -------->  0
            0   ---------->     ớ - h  -------->  0
            0   ---------->     ớ - k  -------->  0
            0   ---------->     ớ - l  -------->  0
            0   ---------->     ớ - o  -------->  0
            0   ---------->     ớ - q  -------->  0
            0   ---------->     ớ - r  -------->  0
            0   ---------->     ớ - s  -------->  0
            0   ---------->     ớ - v  -------->  0
            0   ---------->     ớ - x  -------->  0
            0   ---------->     ớ - y  -------->  0
            0   ---------->     ớ - à  -------->  0
            0   ---------->     ớ - á  -------->  0
            0   ---------->     ớ - â  -------->  0
            0   ---------->     ớ - ã  -------->  0
            0   ---------->     ớ - è  -------->  0
            0   ---------->     ớ - é  -------->  0
            0   ---------->     ớ - ê  -------->  0
            0   ---------->     ớ - ì  -------->  0
            0   ---------->     ớ - í  -------->  0
            0   ---------->     ớ - ò  -------->  0
            0   ---------->     ớ - ó  -------->  0
            0   ---------->     ớ - ô  -------->  0
            0   ---------->     ớ - õ  -------->  0
            0   ---------->     ớ - ù  -------->  0
            0   ---------->     ớ - ú  -------->  0
            0   ---------->     ớ - ý  -------->  0
            0   ---------->     ớ - ă  -------->  0
            0   ---------->     ớ - đ  -------->  0
            0   ---------->     ớ - ĩ  -------->  0
            0   ---------->     ớ - ũ  -------->  0
            0   ---------->     ớ - ơ  -------->  0
            0   ---------->     ớ - ư  -------->  0
            0   ---------->     ớ - ạ  -------->  0
            0   ---------->     ớ - ả  -------->  0
            0   ---------->     ớ - ấ  -------->  0
            0   ---------->     ớ - ầ  -------->  0
            0   ---------->     ớ - ẩ  -------->  0
            0   ---------->     ớ - ẫ  -------->  0
            0   ---------->     ớ - ậ  -------->  0
            0   ---------->     ớ - ắ  -------->  0
            0   ---------->     ớ - ằ  -------->  0
            0   ---------->     ớ - ẳ  -------->  0
            0   ---------->     ớ - ẵ  -------->  0
            0   ---------->     ớ - ặ  -------->  0
            0   ---------->     ớ - ẹ  -------->  0
            0   ---------->     ớ - ẻ  -------->  0
            0   ---------->     ớ - ẽ  -------->  0
            0   ---------->     ớ - ế  -------->  0
            0   ---------->     ớ - ề  -------->  0
            0   ---------->     ớ - ể  -------->  0
            0   ---------->     ớ - ễ  -------->  0
            0   ---------->     ớ - ệ  -------->  0
            0   ---------->     ớ - ỉ  -------->  0
            0   ---------->     ớ - ị  -------->  0
            0   ---------->     ớ - ọ  -------->  0
            0   ---------->     ớ - ỏ  -------->  0
            0   ---------->     ớ - ố  -------->  0
            0   ---------->     ớ - ồ  -------->  0
            0   ---------->     ớ - ổ  -------->  0
            0   ---------->     ớ - ỗ  -------->  0
            0   ---------->     ớ - ộ  -------->  0
            0   ---------->     ớ - ớ  -------->  0
            0   ---------->     ớ - ờ  -------->  0
            0   ---------->     ớ - ở  -------->  0
            0   ---------->     ớ - ỡ  -------->  0
            0   ---------->     ớ - ợ  -------->  0
            0   ---------->     ớ - ụ  -------->  0
            0   ---------->     ớ - ủ  -------->  0
            0   ---------->     ớ - ứ  -------->  0
            0   ---------->     ớ - ừ  -------->  0
            0   ---------->     ớ - ử  -------->  0
            0   ---------->     ớ - ữ  -------->  0
            0   ---------->     ớ - ự  -------->  0
            0   ---------->     ớ - ỳ  -------->  0
            0   ---------->     ớ - ỵ  -------->  0
            0   ---------->     ớ - ỷ  -------->  0
            0   ---------->     ớ - ỹ  -------->  0
            0   ---------->     ờ - a  -------->  0
            0   ---------->     ờ - b  -------->  0
            0   ---------->     ờ - d  -------->  0
            0   ---------->     ờ - e  -------->  0
            0   ---------->     ờ - g  -------->  0
            0   ---------->     ờ - k  -------->  0
            0   ---------->     ờ - l  -------->  0
            0   ---------->     ờ - o  -------->  0
            0   ---------->     ờ - p  -------->  0
            0   ---------->     ờ - q  -------->  0
            0   ---------->     ờ - r  -------->  0
            0   ---------->     ờ - s  -------->  0
            0   ---------->     ờ - t  -------->  0
            0   ---------->     ờ - u  -------->  0
            0   ---------->     ờ - v  -------->  0
