                a        b        c        d        e        g        h        i        k        l        m        n        o        p        q        r        s        t        u        v        x        y        à        á        â        ã        è        é        ê        ì        í        ò        ó        ô        õ        ù        ú        ý        ă        đ        ĩ        ũ        ơ        ư        ạ        ả        ấ        ầ        ẩ        ẫ        ậ        ắ        ằ        ẳ        ẵ        ặ        ẹ        ẻ        ẽ        ế        ề        ể        ễ        ệ        ỉ        ị        ọ        ỏ        ố        ồ        ổ        ỗ        ộ        ớ        ờ        ở        ỡ        ợ        ụ        ủ        ứ        ừ        ử        ữ        ự        ỳ        ỵ        ỷ        ỹ
        õ        0        0        0        0        0        0        0       54        0        0       26        4        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        ù      291        1        2        0        0        0        0       38        0        1       19    2.191        0        0        0        0        0        0        0        0        0       20        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        ú       32        0    1.800        0        0        0        0      104        0        0       31    1.187        0      253        0        0        0      539        0        0        0        9        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        ý        0        0        0        0        0        0        2        0        1        0        0        0        0        0        0        0        0        9        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        ă        0        0        0        0        0        0        0        0        0        0    2.556    1.936        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        đ    1.428        0        0        2      196        0        0    3.108        0        0        0        0    1.322        0        0        0        0        0       76        0        0        0      575    1.168      540    4.252       29        0      181      132      279      241    1.457      329        0       24      274        0       42        0        3       23      156    4.965    1.277      470      733    1.786      108       22       60      101        3       38        0      494       51       10        5    3.503    1.395    2.410        0        3       39    1.479      210       21    1.309    1.088      656        6    3.200       13      268        0       59      133       11      245      386       19        0        0       36        0        0        0        0
        ĩ      414        0        0        0        0        0        0        0        0        0        1      533        0        0        1        0        2        0        8        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        ũ       24        0        0        0        0        0        0       61        0        0        0    1.559        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        ơ        0        0        0        0        0        0        1      571        0        0       13    2.999        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        ư      995        0        1        0        1        0        1        0        0        0        0    2.447        0        0        0        0        0        0    1.002        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2        0        0    1.779        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0    6.179    5.865    1.520      158    5.370        0        0        0        0        0        0        0        0        0        0        0
        ạ        0        0      870        0        0        0        0    6.396        0        0      363    2.212    1.028      111        0        0        0      573        0        0        0      136        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        ả        0        0        0        0        0        0        0    3.229        0        0      954    3.902    1.052        0        0        0        0        1        0        1        0      355        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        ấ        0        0       31        0        0        0        0        0        0        0      387    1.549        0    1.023        0        0        0    4.087      542        0        0    2.553        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        ầ        0        0        0        0        0        0        0        0        0        0      635    2.760        0        0        0        0        0        0    2.352        0        0      248        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        ẩ        0        0        0        0        0        0        0        0        0        0      218      444        0        0        0        0        0        0       75        0        0      129        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        ẫ        0        0        0        0        0        0        0        0        0        0       42    1.415        0        0        0        0        0        0       42        0        0       25        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        ậ        0        0       27        0        0        0        0        0        0        0      230    2.996        0    1.807        0        0        0    2.276      368        0        0      305        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        ắ        0        0    1.543        0        0        0        0        0        0        0      290    1.119        0      188        0        0        0    1.208        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        ằ        0        0        0        0        0        0        0        0        0        0      590    2.758        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        ẳ        0        0        0        0        0        0        0        0        0        0        3      886        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        ẵ        0        0        0        0        0        0        0        0        0        0        0      244        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
